allocation_id,bucket_id,period_id,allocated_amount,allocated_time_hours,allocation_percentage_of_total,allocation_percentage_of_parent
1,19,1,26706.56589783346,53.41313179566692,0.026706565897833462,0.16271162952742976
2,19,2,25197.699754201054,50.3953995084021,0.025197699754201053,0.15792380204042256
3,19,3,29679.8411355662,59.3596822711324,0.0296798411355662,0.1807969116775846
4,19,4,31916.810525573983,63.833621051147965,0.031916810525573984,0.19702849471093542
5,19,5,25899.557338368075,51.79911467673616,0.025899557338368077,0.15908339294078722
6,19,6,30592.75602153273,61.18551204306546,0.03059275602153273,0.18427130232719124
7,19,7,26389.134358906624,52.77826871781324,0.02638913435890662,0.16234776335081938
8,19,8,31332.046898662957,62.664093797325904,0.03133204689866295,0.20322390419448516
9,19,9,27305.387466985012,54.61077493397002,0.02730538746698501,0.1762098482549807
10,19,10,20135.267237468437,50.338168093671094,0.02516908404683555,0.16393925237828047
11,19,11,26195.60508818519,65.48901272046298,0.03274450636023149,0.21772542844175916
12,19,12,22393.680861968514,55.984202154921284,0.02799210107746064,0.18635749877423916
13,19,13,27146.918073918972,54.29383614783795,0.027146918073918974,0.1852112412668461
14,19,14,23321.90807306758,46.643816146135165,0.023321908073067582,0.16518155684492022
15,19,15,23508.54201480451,47.017084029609016,0.023508542014804505,0.16856018544929566
16,19,16,20617.975552191765,41.23595110438353,0.020617975552191765,0.15458623557438433
17,19,17,24995.084836123006,49.99016967224601,0.02499508483612301,0.18653943891636457
18,19,18,29615.049807966327,59.23009961593265,0.029615049807966327,0.22503027662381878
19,19,19,29006.534310208663,58.01306862041732,0.02900653431020866,0.22651457934489636
20,19,20,30645.974757009673,61.29194951401934,0.030645974757009673,0.23097133540707773
21,19,21,29089.747224435232,58.179494448870464,0.029089747224435233,0.23355906734739748
22,19,22,32066.905597144265,64.13381119428853,0.032066905597144264,0.2490833615030868
23,19,23,31897.711110061162,63.79542222012232,0.03189771111006116,0.25066399400495626
24,19,24,32043.186200451728,64.08637240090344,0.032043186200451726,0.2489993936871574
25,20,1,74442.4509747056,148.8849019494112,0.07444245097470559,0.45354586398144037
26,20,2,76341.35123861456,152.68270247722913,0.07634135123861457,0.4784609927934114
27,20,3,70037.20998593149,140.074419971863,0.07003720998593149,0.42663676028902514
28,20,4,73486.85474524705,146.9737094904941,0.07348685474524705,0.45364822277262307
29,20,5,68941.04100392689,137.8820820078538,0.0689410410039269,0.4234579986248397
30,20,6,64654.732173300814,129.30946434660163,0.06465473217330082,0.3894389799599686
31,20,7,70534.26746040932,141.06853492081865,0.07053426746040932,0.43393164800500805
32,20,8,73300.64946713607,146.60129893427217,0.07330064946713608,0.4754379505712564
33,20,9,72584.66492253073,145.16932984506147,0.07258466492253074,0.46841059505573146
34,20,10,55777.1671740496,139.442917935124,0.069721458967562,0.4541318959639356
35,20,11,57612.355456833095,144.03088864208274,0.07201544432104137,0.47884653678167516
36,20,12,49286.457915924046,123.21614478981012,0.06160807239490505,0.41015593091943386
37,20,13,52631.69191770241,105.26338383540482,0.05263169191770241,0.3590824182512685
38,20,14,58509.70030619988,117.01940061239975,0.058509700306199876,0.41440534611611557
39,20,15,66938.78827342675,133.8775765468535,0.06693878827342674,0.4799623285023097
40,20,16,65105.46394921219,130.2109278984244,0.0651054639492122,0.48813757498915167
41,20,17,57023.06454458132,114.04612908916265,0.05702306454458132,0.42556568762131697
42,20,18,59756.359430026474,119.51271886005293,0.05975635943002647,0.45405934414312593
43,20,19,58684.1683127114,117.36833662542281,0.0586841683127114,0.4582698352515901
44,20,20,56557.932568486285,113.11586513697256,0.056557932568486284,0.42626352455043914
45,20,21,60964.427605405916,121.92885521081182,0.060964427605405914,0.4894781224130413
46,20,22,55440.45581000323,110.88091162000646,0.05544045581000323,0.43064008950239147
47,20,23,58965.404631054334,117.93080926210867,0.05896540463105434,0.4633719260275188
48,20,24,54437.547638631004,108.875095277262,0.054437547638631005,0.42302024121570586
49,21,1,60495.174950424924,120.99034990084984,0.06049517495042492,0.3685711046634083
50,21,2,61446.30089112977,122.89260178225953,0.06144630089112977,0.38510790876572604
51,21,3,62572.28098736559,125.14456197473118,0.06257228098736559,0.3811636021724255
52,21,4,59851.15510912252,119.70231021824505,0.05985115510912252,0.36947247559126367
53,21,5,58295.36024346987,116.59072048693973,0.05829536024346987,0.3580688109482956
54,21,6,59702.147341235985,119.40429468247196,0.05970214734123598,0.35960775925372906
55,21,7,61269.041654347064,122.53808330869414,0.06126904165434707,0.37693134378522153
56,21,8,58993.99741462283,117.98799482924564,0.05899399741462282,0.38264306565782097
57,21,9,55600.60252115316,111.20120504230633,0.055600602521153154,0.35880735056347085
58,21,10,46200.54280982219,115.50135702455546,0.05775067851227773,0.37616001607462457
59,21,11,46615.79042725116,116.5394760681279,0.05826973803406395,0.38744831084288034
60,21,12,45178.365467385906,112.94591366846478,0.05647295683423239,0.37596888332498984
61,21,13,54493.339029760384,108.98667805952076,0.05449333902976038,0.3717836011806249
62,21,14,52439.46916307018,104.87893832614034,0.05243946916307018,0.37141185572548147
63,21,15,51733.269928522204,103.46653985704441,0.0517332699285222,0.37093621406034644
64,21,16,49483.92149538299,98.96784299076597,0.049483921495382985,0.37101281481616855
65,21,17,50418.356116766816,100.83671223353363,0.05041835611676682,0.37627445246814983
66,21,18,49390.86645365332,98.78173290730663,0.049390866453653315,0.3752970335294172
67,21,19,47736.829189535536,95.47365837907108,0.04773682918953554,0.37278110054399766
68,21,20,51819.216054572746,103.63843210914548,0.05181921605457274,0.3905489587710023
69,21,21,49009.911666486776,98.01982333297356,0.04900991166648677,0.3934963467124187
70,21,22,46329.636853084085,92.65927370616816,0.04632963685308408,0.3598707598905699
71,21,23,46401.011572160816,92.80202314432164,0.04640101157216082,0.36463628523111685
72,21,24,47828.45428036847,95.65690856073694,0.047828454280368464,0.3716626693208738
73,22,1,42103.81758164526,84.20763516329052,0.042103817581645255,0.3591286544267853
74,22,2,41287.61112526572,82.57522225053144,0.041287611125265716,0.3622717639126505
75,22,3,41773.05472174742,83.54610944349486,0.04177305472174742,0.3562490429361673
76,22,4,41826.362789503604,83.6527255790072,0.0418263627895036,0.36148284335192477
77,22,5,42653.41352697383,85.30682705394766,0.04265341352697383,0.3667873360930199
78,22,6,42382.5552868353,84.7651105736706,0.0423825552868353,0.35739977511105114
79,22,7,44729.642584815396,89.4592851696308,0.0447296425848154,0.3852517578829026
80,22,8,41769.05527589828,83.53811055179656,0.04176905527589828,0.3792876578154156
