derived_id,goal_id,period_id,range_position_score,status_band,underfunded_flag,overfunded_flag,allocation_efficiency_ratio,probability_of_hitting_target,time_to_green_estimate,weighted_goal_status_score,allocation_fitness_score
1,1,1,0.05,red_low,True,False,1.0,0.1,5,0.05,0.0
2,1,2,0.05,red_low,True,False,1.0,0.1,6,0.05,0.0
3,1,3,0.05,red_low,True,False,1.0,0.1,5,0.05,0.0
4,1,4,0.05,red_low,True,False,0.007981495315513643,0.1,4,0.05,0.0
5,1,5,0.05,red_low,True,False,0.05503866891638319,0.1,5,0.05,0.0
6,1,6,0.05,red_low,True,False,0.08525923635616313,0.1,5,0.05,0.0
7,1,7,0.05,red_low,True,False,0.6385682110101882,0.1,5,0.05,0.0
8,1,8,0.05,red_low,True,False,0.12394895501424491,0.1,4,0.05,0.0
9,1,9,0.05,red_low,True,False,0.1348776390505057,0.1,5,0.05,0.0
10,1,10,0.05,red_low,True,False,0.1368050508273818,0.1,6,0.05,0.0
11,1,11,0.05,red_low,True,False,0.23758653273537855,0.1,4,0.05,0.0
12,1,12,0.05,red_low,True,False,0.2616893055610806,0.3,5,0.05,0.0
13,1,13,0.05,red_low,True,False,0.16414242648504074,0.3,5,0.05,0.0
14,1,14,0.05,red_low,True,False,0.16482670371020328,0.1,6,0.05,0.0
15,1,15,0.05,red_low,True,False,0.05071247798895719,0.1,6,0.05,0.0
16,1,16,0.05,red_low,True,False,0.08324588818426853,0.1,6,0.05,0.0
17,1,17,0.05,red_low,True,False,0.08828056530373146,0.1,6,0.05,0.0
18,1,18,0.05,red_low,True,False,0.11700597239539393,0.1,5,0.05,0.0
19,1,19,0.05,red_low,True,False,0.07992078945111819,0.1,5,0.05,0.0
20,1,20,0.05,red_low,True,False,0.2625300913048652,0.1,5,0.05,0.0
21,1,21,0.05,red_low,True,False,0.1834260412253521,0.1,5,0.05,0.0
22,1,22,0.05,red_low,True,False,0.17754250801587773,0.1,4,0.05,0.0
23,1,23,0.05,red_low,True,False,0.15333039104172277,0.1,4,0.05,0.0
24,1,24,0.05,red_low,True,False,0.19690410010854845,0.0,4,0.05,0.0
25,2,1,0.95,red_high,False,True,1.0,0.1,8,0.95,0.0
26,2,2,0.95,red_high,False,True,1.0,0.1,9,0.95,0.0
27,2,3,0.95,red_high,False,True,1.0,0.1,7,0.95,0.0
28,2,4,0.95,red_high,False,True,0.010646661922636762,0.1,8,0.95,0.0
29,2,5,0.95,red_high,False,True,0.013460859330043904,0.1,7,0.95,0.0
30,2,6,0.95,red_high,False,True,0.029822900907781905,0.1,6,0.95,0.0
31,2,7,0.95,red_high,False,True,0.5229338163277263,0.1,7,0.95,0.0
32,2,8,0.95,red_high,False,True,0.044321388691245335,0.1,8,0.95,0.0
33,2,9,0.95,red_high,False,True,0.04496094839035569,0.1,8,0.95,0.0
34,2,10,0.95,red_high,False,True,0.06878691048751817,0.1,7,0.95,0.0
35,2,11,0.95,red_high,False,True,0.25464831974629737,0.1,8,0.95,0.0
36,2,12,0.95,red_high,False,True,0.09943568769615034,0.1,5,0.95,0.0
37,2,13,0.95,red_high,False,True,0.0959156185862269,0.1,3,0.95,0.0
38,2,14,0.95,red_high,False,True,0.08372213489324573,0.1,5,0.95,0.0
39,2,15,0.95,red_high,False,True,0.11505534565304643,0.1,7,0.95,0.0
40,2,16,0.95,red_high,False,True,0.10609581650458004,0.1,6,0.95,0.0
41,2,17,0.95,red_high,False,True,0.11986006311651937,0.1,4,0.95,0.0
42,2,18,0.95,red_high,False,True,0.08775141325945773,0.1,5,0.95,0.0
43,2,19,0.95,red_high,False,True,0.10017798965847526,0.1,5,0.95,0.0
44,2,20,0.95,red_high,False,True,0.09431068485143389,0.1,4,0.95,0.0
45,2,21,0.95,red_high,False,True,0.11057301593612343,0.1,5,0.95,0.0
46,2,22,0.95,red_high,False,True,0.10719888003674097,0.1,4,0.95,0.0
47,2,23,0.95,red_high,False,True,0.09690015105271446,0.1,5,0.95,0.0
48,2,24,0.95,red_high,False,True,0.09625275614976887,0.0,4,0.95,0.0
49,3,1,0.95,red_high,False,True,1.0,0.1,1,0.95,0.0
50,3,2,0.95,red_high,False,True,1.0,0.1,2,0.95,0.0
51,3,3,0.95,red_high,False,True,1.0,0.1,2,0.95,0.0
52,3,4,0.95,red_high,False,True,0.021990809752099348,0.1,1,0.95,0.0
53,3,5,0.95,red_high,False,True,0.03514646549159832,0.1,1,0.95,0.0
54,3,6,0.95,red_high,False,True,0.06142068657379559,0.1,1,0.95,0.0
55,3,7,0.95,red_high,False,True,0.5601903739783876,0.1,2,0.95,0.0
56,3,8,0.95,red_high,False,True,0.1150780538410754,0.1,1,0.95,0.0
57,3,9,0.7179465570591755,orange_high,False,True,0.11455264875814315,0.3,1,0.7179465570591755,0.0
58,3,10,0.95,red_high,False,True,0.12575768263728648,0.1,1,0.95,0.0
59,3,11,0.95,red_high,False,True,0.2216338509292906,0.1,1,0.95,0.0
60,3,12,0.8219759810117556,orange_high,False,True,0.1928211081763847,0.1,1,0.8219759810117556,0.0
61,3,13,0.5397446236740226,green,False,False,0.1427917688650004,0.1,0,0.5397446236740226,1.0
62,3,14,0.5005563450763216,green,False,False,0.12780353898144192,0.1,0,0.5005563450763216,1.0
63,3,15,0.48708191186232896,green,False,False,0.1677154750074295,0.1,0,0.48708191186232896,1.0
64,3,16,0.31352412620480796,orange_low,False,False,0.18553354418406817,0.1,1,0.31352412620480796,0.0
65,3,17,0.46199307365366793,green,False,False,0.14780523556427444,0.1,0,0.46199307365366793,1.0
66,3,18,0.3024271874473772,orange_low,False,False,0.15488280287979198,0.1,1,0.3024271874473772,0.0
67,3,19,0.1051810212939638,orange_low,False,False,0.15357571574543097,0.1,1,0.1051810212939638,0.0
68,3,20,0.48872178242408437,green,False,False,0.16125211345377702,0.1,0,0.48872178242408437,1.0
69,3,21,0.2569978172170341,orange_low,False,False,0.17201933566410288,0.1,1,0.2569978172170341,0.0
70,3,22,0.05,red_low,False,False,0.17782756031109392,0.1,1,0.05,0.0
71,3,23,0.05,red_low,False,False,0.14281705855970536,0.1,1,0.05,0.0
72,3,24,0.11610743648563833,orange_low,False,False,0.14252394345790442,0.0,1,0.11610743648563833,0.0
73,4,1,0.8637027871886055,orange_high,False,True,1.0,0.1,1,0.8637027871886055,0.0
74,4,2,0.7929221440159193,orange_high,False,True,1.0,0.1,1,0.7929221440159193,0.0
75,4,3,0.8350193483622907,orange_high,False,True,1.0,0.1,1,0.8350193483622907,0.0
