l2_name,l1_name,n_goals,avg_composite,avg_attainability,avg_relevance,avg_coherence,avg_integrity,at_risk_count,critical_count
Paid Acquisition,Marketing,3,0.3536,0.2502,0.3477,0.3,0.5828,2,0
Content & SEO,Marketing,3,0.3946,0.2342,0.3803,0.4,0.5997,2,0
Partnerships,Marketing,3,0.3849,0.2409,0.3751,0.4,0.5485,2,0
Events & Community,Marketing,3,0.3016,0.2021,0.3866,0.1833,0.5478,3,0
Core Platform,Product,3,0.4126,0.4913,0.3746,0.3,0.5494,1,0
New Features,Product,3,0.3673,0.2386,0.359,0.3333,0.596,2,0
Technical Debt,Product,2,0.2988,0.2691,0.3759,0.15,0.519,2,0
Research & Innovation,Product,2,0.3581,0.2364,0.4248,0.25,0.6333,1,0
Customer Success,Operations,3,0.4263,0.5913,0.3952,0.2167,0.6181,1,0
Infrastructure & DevOps,Operations,2,0.29,0.2536,0.3292,0.15,0.5412,2,0
Data & Analytics,Operations,2,0.3088,0.247,0.3314,0.2,0.5538,2,0
Finance & Legal,G&A,2,0.452,0.4403,0.4264,0.375,0.6273,0,0
HR & Recruiting,G&A,2,0.4065,0.4122,0.4988,0.25,0.5812,0,0
General Admin,G&A,2,0.3491,0.268,0.4586,0.2,0.6017,1,0
